University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,12 M Gross Pay,9 M Gross Pay,3 M Gross Pay,Fees,Comments
Georgia Institute of Technology (Georgia Tech),Physics,"$22,068",0.95,2017-2018,5th,"$25,068",,,"$3,000","Pay is the same regardless of time spent in program. We just had a small pay bump about a year ago of $1000. Parking pass is an extra $800 per year.
"
Princeton University,French and Italian,"$22,000",0.87,2016-2017,6th and up,,"$22,000",,,On a special fellowship 
Georgia Institute of Technology (Georgia Tech),Electrical engineering,"$22,500",0.97,2016-2017,4th,"$27,000",,,"$4,500","GRA:27000 (research assistant)
TA: 16692 (TA 1/3rd mostly all the TAs)
          23760 (TA 50% if you handle two classes)"
Nanyang Technological University,Mathematics,"$21,600",,2017-2018,1st,"$22,000",,,$400,
Harvard University (HU),School of Engineering and Applied Sciences,"$30,550",1.07,2016-2017,1st,"$33,000",,,"$2,450",
,,"$22,000",,2016-2017,,"$22,000",,,,
Stony Brook University - SUNY,Physics,"$25,900",0.93,2016-2017,4th,"$27,500",,,"$1,600",Received $1200 tax refund
Ohio University (OU),MSES,"$12,000",0.57,2017-2018,2nd,,"$10,000","$2,000",,
University of Tennessee - Knoxville,Earth and Planetary Science,"$13,800",0.65,2016-2017,,"$15,000",,,"$1,200",
University of South Florida (UCF),Industrial Engineering and Management Sciences,"$19,200",0.88,2016-2017,,"$21,000",,,"$1,800",
SUNY College of Environmental Science and Forestry,EFB,"$30,900",1.45,2016-2017,4th,"$32,000",,,"$1,100",
University of Massachusetts - Boston (UMB),Chemistry,"$23,000",0.80,2015-2016,1st,,"$17,000","$8,000","$2,000",
National University of Singapore,,"$30,000",,2013-2014,1st,"$30,000",,,,
Indiana University,Curriculum & Instruction,"$13,500",0.63,2017-2018,2nd,,"$16,000",,"$2,500",
University of Pennsylvania,Mechanical Engineering and Applied Mechanics,"$33,000",1.37,2017-2018,2nd,"$33,000",,,,
Harvard University (HU),Biostatistics,"$36,000",1.26,2017-2018,1st,"$36,000",,,,34632 yearly stipend + 1500 first year startup stipend
University of Tennessee - Knoxville,Microbiology ,"$19,900",0.94,2017-2018,2nd,"$22,500",,,"$2,600","Half RA, half TA pay"
University of Tennessee - Knoxville,Microbiology ,"$17,400",0.82,2016-2017,1st,"$20,000",,,"$2,600",
Colorado State University (CSU),Ecosystem Science & Sustainability,"$25,000",1.11,2016-2017,3rd,"$28,000",,,"$3,000",
University of Wisconsin - Madison (UW),Agroecology,"$20,200",0.88,2016-2017,2nd,"$22,000",,,"$1,800",
University of Texas - Austin (UT),Mechanical Engineering,"$36,000",1.58,2017-2018,1st,"$36,000",,,,
University of Colorado - Denver (UCD),Immunology and Microbiology,"$30,000",1.34,2017-2018,2nd,"$30,000",,,,
,,"$47,844",,2017-2018,1st,"$47,844",,,,
University of Victoria,Biochemistry and Microbiology,"$20,883",,2016-2017,2nd,"$27,500",,,"$6,617",
University of Wisconsin - Madison (UW),Population Health Science,"$23,032",1.01,2016-2017,4th,"$23,032",,,,I have a T32 fellowship so this amount is set by the NIH
University of Kentucky (UK),Pharmacology & Nutritional Sciences,"$25,000",1.22,2016-2017,6th and up,"$25,000",,,,
Stanford University (SU),Earth System Science,"$37,000",1.29,2015-2016,5th,"$37,000",,,,
Louisiana State University - Baton Rouge,Oceanography and Coastal Sciences ,"$22,000",1.01,2017-2018,3rd,"$24,000",,,"$2,000",
Duke University (DU),Psychology and neuroscience,"$34,000",1.53,2017-2018,2nd,"$34,000",,,,Nsf grfp
University of Arkansas - Fayetteville,Educational Statistics and Research Methods,"$12,000",0.60,2016-2017,,"$13,000",,,"$1,000",
Louisiana State University - Baton Rouge,Biological Sciences,"$18,500",0.85,2017-2018,4th,"$22,000",,,"$3,500",No health insurance 
,,"$21,000",,2016-2017,,"$21,000",,,,
Michigan State University (MSU),Fisheries and Wildlife ,"$27,960",1.36,2017-2018,2nd,,"$21,000","$7,000",$40,
University of Cincinnati (UC),Cancer and Cell Biology,"$29,000",1.50,2017-2018,4th,"$29,000",,,,
Indiana University,Applied Health Science,"$13,000",0.60,2016-2017,3rd,,"$12,000","$1,000",,
University of North Carolina - Chapel Hill (UNC),Psychology ,"$20,000",1.06,2002-2003,,"$20,000",,,,
Indiana University,Intelligent Systems Engineering,"$22,800",1.06,2016-2017,1st,,"$21,000","$3,000","$1,200",
University of Cincinnati (UC),Cancer and Cell Biology,"$29,000",1.50,2017-2018,,"$29,000",,,,
Carnegie Mellon University (CMU),School of Computer Science,"$33,372",1.61,2016-2017,1st,"$33,372",,,,
Indiana University,Applied Health Sciences - Health Behavior,"$10,482",0.49,2017-2018,2nd,,"$10,482",,,"It is divided in 10 payments, but state taxes are 7%."
Indiana University,Applied Health Sciences - Health Behavior,"$10,049",0.47,2016-2017,1st,,"$10,049",,,"It is divided in 10 payments, but state taxes are 7%."
Harvard University (HU),African American Studies,"$34,632",1.21,2017-2018,1st,,"$28,860","$5,772",,
University of Chicago (UC),Neurology,"$48,420",2.00,2016-2017,5th,"$53,220",,,"$4,800",
Duke University (DU),CMB,"$30,550",1.37,2016-2017,1st,"$30,550",,,,
University of Puerto Rico,Environmental Health ,"$9,111",,2016-2017,3rd,,"$8,330",$925,$144,
University of Maine,,"$19,000",0.89,2017-2018,4th,,"$21,000",,"$2,000",
Johns Hopkins University (JHU),,"$32,000",1.24,2016-2017,2nd,"$32,000",,,,
Mount Sinai School of Medicine,Neuroscience,"$34,000",1.14,2017-2018,1st,"$34,000",,,,
Indiana University,Folklore and Ethnomusicology,"$14,500",0.67,2015-2016,4th,,"$15,500",,"$1,000","Did include health insurance but the fees were brutal. These are based on the amount of credits one is enrolled in and many other factors. They also have it as a ""10"" month salary system which is really equivalent to 9 months."
Duke University (DU),,"$38,000",1.71,2017-2018,4th,"$38,000",,,,
Duke University (DU),Molecular Genetics and Microbiology ,"$30,000",1.35,2016-2017,6th and up,"$30,000",,,,
Indiana University,Computer Science,"$18,472",0.86,2017-2018,2nd,,"$19,150",,$678,
University of Pennsylvania,Genetics ,"$50,000",2.07,2017-2018,1st,"$50,000",,,,
University of Kentucky (UK),Geography ,"$14,500",0.71,2017-2018,3rd,,"$15,000",,$500,
University of Kentucky (UK),Biochemistry,"$25,000",1.22,2017-2018,5th,"$25,000",,,,
Boston University (BU),Earth and environment,"$32,000",1.12,2017-2018,1st,"$32,000",,,,
Duke University (DU),University Program in Genetics and Genomics,"$31,300",1.41,2017-2018,2nd,"$31,300",,,,"Health care and all fees paid for, including gym"
Norwegian University of Science and Technology,Computer Science,"$61,000",,2017-2018,4th,"$61,000",,,,
University of Wisconsin - Madison (UW),Atmospheric and Oceanic SCiences,"$26,082",1.14,2017-2018,1st,"$26,712",,,$630,
,Chemistry,"$28,000",,2017-2018,5th,"$28,000",,,,
,Chemistry,"$28,000",,2017-2018,5th,"$28,000",,,,
Duke University (DU),,"$34,000",1.53,2017-2018,,"$34,000",,,,
Rutgers the State University of New Jersey - New Brunswick,History ,"$19,800",0.77,2016-2017,5th,,"$21,000",,"$1,200",
Duke University (DU),Ecology,"$27,500",1.24,2017-2018,3rd,"$27,500",,,,
Georgetown University,Neurology,"$48,000",1.56,2017-2018,1st,"$48,000",,,,
University of Massachusetts - Amherst (UMass),Plant Biology,"$24,000",1.05,2017-2018,1st,"$25,000",,,"$1,000",
University of California - San Francisco (UCSF),Biophysics,"$37,000",1.24,2016-2017,5th,"$37,000",,,,
Duke University (DU),Chemistry,"$29,500",1.33,2017-2018,3rd,"$29,500",,,,
Baylor College of Medicine,Developmental Biology/ MD-PhD,"$31,000",1.42,2017-2018,3rd,"$31,000",,,,
University of Regina,Biology,"$9,000",,2016-2017,4th,"$15,000",,,"$6,000",
Duke University (DU),Biochemistry ,"$31,000",1.39,2017-2018,4th,"$32,000",,,"$1,000",
University of Michigan - Ann Arbor (UM),Computational Medicine and Bioinformatics,"$25,000",1.08,2017-2018,3rd,"$25,000",,,,
Lehigh University,Psychology,"$34,000",1.52,2017-2018,1st,"$34,000",,,,Comes from a fellowship from the us dept of ed given to lehigh called the GAANN 
Saarland University,Department of Language Science and Technology,"$39,500",,2017-2018,3rd,"$40,000",,,$500,
The Catholic University of America,Psychology,"$20,000",0.70,2010-2011,,"$20,000",,,,
University of Georgia (UGA),Microbiology,"$23,334",1.10,2016-2017,3rd,"$25,000",,,"$1,666","Student healthcare, not including dental or mental health, costs $1228.00 and has since increased. Fees reflect the minimum fees for registering for researching credits. Fees increase once you include coursework."
Washington University in St. Louis (Wash U),"Evolution, ecology, and population biology ","$32,000",1.77,2013-2014,5th,"$32,000",,,,
University of Tennessee - Knoxville,Earth and Planetary Sciences,"$13,000",0.61,2017-2018,5th,,"$15,000",,"$2,000",
University of Tennessee - Knoxville,Earth and Planetary Sciences,"$-5,000",-0.24,2017-2018,5th,,"$15,000",,"$20,000",
Arizona State University (ASU),Civil engineering ,"$30,300",1.37,2017-2018,1st,"$32,000",,,"$1,700",
University of Tuebingen,Institute of Medical Psychology,"$31,000",,2017-2018,6th and up,"$31,000",,,,
Montreal,Psychiatry ,"$16,000",,2016-2017,1st,"$20,000",,,"$4,000",
University of Gottingen,Psychology,"$29,900",,2017-2018,2nd,"$30,800",,,$900,
Stanford University (SU),Psychology,"$38,308",1.33,2017-2018,2nd,"$38,308",,,,
University of Rochester (UR),Brain and Cognitive Sciences ,"$32,000",1.50,2016-2017,2nd,"$32,000",,,,
Rutgers the State University of New Jersey - New Brunswick,Oceanography,"$28,300",1.10,2016-2017,2nd,"$29,500",,,"$1,200",
University of Oregon (UO),Psychology ,"$21,000",1.00,2017-2018,1st,,"$21,000",,,
University of Minnesota - Twin Cities (UM),Agronomy and Plant Genetics,"$48,426",2.11,2017-2018,2nd,"$48,426",,,,
University of Pennsylvania,,"$50,000",2.07,2016-2017,2nd,"$50,000",,,,
Massachusetts Institute of Technology (MIT),Civil Environmental Engineering (CEE),"$43,700",1.56,2016-2017,1st,"$43,700",,,,No health insurance or other benefits.
Florida International University (FIU),Psychology,"$19,800",0.83,2016-2017,2nd,"$22,000",,,"$2,200",I'm paid more than some in my program because of the grant I'm on.
Harvard University (HU),Psychology,"$33,600",1.17,2017-2018,2nd,"$33,600",,,,
Florida State University (FSU),Neuroscience,"$19,800",0.85,2017-2018,1st,"$22,500",,,"$2,700",
University of Pennsylvania,Biomedical Graduate Studies,"$32,000",1.33,2017-2018,,"$32,000",,,,
University of Utah,Geology and Geophysics ,"$14,000",0.71,2006-2007,1st,,"$14,000",,,
University of Birmingham (UK),Law,"$15,181",,2017-2018,2nd,"$15,181",,,,
Rutgers the State University of New Jersey - New Brunswick,DMCS,"$28,800",1.10,2012-2013,2nd,"$29,000",,,$200,
Louisiana State University - Baton Rouge,Clinical psychology ,"$18,000",0.83,2017-2018,2nd,"$19,000",,,"$1,000",
Yale University (YU),Biomedical Engineering,"$33,850",1.37,2017-2018,1st,"$33,850",,,,
University of North Carolina - Chapel Hill (UNC),Biology,"$20,500",0.92,2017-2018,5th,,"$19,500","$3,000","$2,000",
University of Amsterdam,Psychology,"$3,337",,2017-2018,3rd,"$3,337",,,,
Carnegie Mellon University (CMU),Mechanical Engineering,"$27,998",1.35,2016-2017,3rd,"$28,200",,,$202,Health insurance not included in the fees. It is about ~$2000 for university-provided insurance.
Johns Hopkins University (JHU),Political Science,"$29,000",1.13,2016-2017,1st,"$29,000",,,,
University of California - Irvine (UCI),Ecology and Evolutionary Biology,"$19,000",0.65,2016-2017,4th,,"$19,000",,,
Indiana University,Anatomy and Cell Biology,"$27,000",1.25,2017-2018,2nd,"$27,000",,,,
University of Southern California (USC),Biological sciences,"$340,000",13.14,2016-2017,4th,"$340,000",,,,
Iowa State University (ISU),Bioinformatics and Computational Biology,"$22,700",1.07,2016-2017,4th,"$24,000",,,"$1,300",
University of California - Berkeley,Plant and Microbial Biology,"$27,416",1.15,2010-2011,3rd,"$27,416",,,,
New York University (NYU),Chemistry,"$30,546",1.15,2011-2012,1st,,"$23,046","$7,500",,"$1000 moving bonus at the start of year 1. Subsidized housing in the first year, then nothing after. No subsidized transit, no dental insurance, no disability insurance.
Summer pay was highly lab-dependent (i.e., $0 or full amount). Salary went up a little per year. Option to TA from 2nd half of 1st year through 1st half of 3rd year (amounting to an extra ~$10-16k/semester extra). Some labs don't pay after 4th year."
Purdue University - West Lafayette,Computer Science,"$21,900",1.04,2017-2018,2nd,,"$17,500","$6,300","$1,900",
University of British Columbia,Microbiology and Immunology,"$28,983",,2017-2018,3rd,"$35,000",,,"$6,017","Tri-council scholarship,  minimum guaranteed stipend for the department is 21, 000 CAD"
Rockefeller University,,"$39,000",1.31,2016-2017,4th,"$39,000",,,,
University of Massachusetts - Amherst (UMass),Kinesiology ,"$20,984",0.92,2017-2018,3rd,"$22,984",,,"$2,000",
University of Texas Health Science Center - Houston,MD/PhD,"$32,000",1.46,2016-2017,4th,"$32,000",,,,
University of Michigan - Ann Arbor (UM),Microbiology and immunology ,"$21,000",0.91,2017-2018,1st,,"$21,000",,,
Duke University (DU),Genetics and Genomics,"$27,800",1.48,2012-2013,5th,"$28,000",,,$200,
Cornell University (CU),PBSB,"$36,000",1.48,2016-2017,4th,"$36,000",,,,
University of Chicago (UC),Comparative Human Development,"$27,448",1.13,2017-2018,2nd,"$28,000",,,$552,
Harvard University (HU),Systems Biology,"$37,260",1.30,2017-2018,6th and up,"$37,260",,,,
Florida State University (FSU),Social Work,"$15,000",0.76,2014-2015,,"$15,000",,,,
Michigan State University (MSU),Psychology ,"$24,000",1.30,2010-2011,1st,"$24,000",,,,"I had a University Distinguishing Fellowship, which provided my stipend for the first and last year and the three years in between I had to TA/GA."
University of Washington (UW),Electrical Engineer,"$29,900",1.28,2017-2018,5th,"$31,000",,,"$1,100",
Auburn University (AU),"Anatomy, Physiology, and Pharmacology","$20,200",0.93,2017-2018,3rd,"$20,200",,,,
University of Texas Southwestern Medical Center - Dallas,Internal medicine,"$47,487",2.20,2016-2017,1st,"$47,487",,,,
Harvard University (HU),Neurobiology/Program in Neuroscience ,"$37,260",1.30,2017-2018,6th and up,"$37,260",,,,
St. Louis University (SLU),Psychology,"$21,500",1.04,2016-2017,2nd,"$22,000",,,$500,
St. Louis University (SLU),Psychology,"$21,500",1.04,2016-2017,1st,"$22,000",,,$500,
KTH Royal Institute of Technology,Theoretical computational biophysics,"$31,300",,2015-2016,5th,"$41,000",,,"$9,700",
CUNY Graduate School and University Center,Spanish,"$26,000",0.87,2017-2018,1st,"$26,000",,,,
University of Tennessee - Knoxville,Animal science,"$11,800",0.56,2016-2017,1st,"$13,800",,,"$2,000",
University of California - San Diego (UCSD),Mechanical engineering,"$2,400",0.09,2017-2018,1st,"$2,400",,,,
University of Missouri (MU),Biological Sciences,"$27,000",1.31,2016-2017,4th,"$27,000",,,,This is a 4 year fellowship through the University that is offered to 2-8 students/year in the life sciences at MU
University of Washington (UW),Speech and Hearing Sciences ,"$34,000",1.46,2016-2017,4th,"$34,000",,,,I am funded through the NSF GRFP
Indiana University- Purdue University - Indianapolis (IUPUI),IBMG,"$27,000",1.31,2017-2018,1st,"$27,000",,,,
University of North Carolina - Chapel Hill (UNC),Neuroscience,"$31,000",1.39,2017-2018,2nd,"$31,000",,,,
University of Nebraska - Omaha (UNO),Applied Math w/focus on Financial Derivatives ,"$75,500",3.73,2016-2017,,"$77,500",,,"$2,000",Buffett Scholar
University of Pittsburgh,Math,"$50,000",2.42,2016-2017,3rd,"$56,000",,,"$6,000",
Washington University in St. Louis (Wash U),DBBS,"$30,000",1.45,2017-2018,1st,"$30,000",,,,
University of California - Irvine (UCI),Anatomy & Neurobiology,"$32,000",1.09,2017-2018,3rd,"$32,000",,,,
Cambridge University,Genetics,"$14,500",,2017-2018,1st,"$14,500",,,,
University of California - Riverside (UCR),Entomology ,"$19,600",0.81,2016-2017,3rd,"$21,000",,,"$1,400",
Dalhousie University,Biology,"$14,000",,2016-2017,1st,"$21,000",,,"$7,000",
Lund University,Biology,"$1,815",,2017-2018,3rd,"$1,815",,,,
University of South Florida,Music,"$7,250",,2017-2018,1st,,"$7,250",,,
Brandeis University,Neuroscience,"$30,000",1.07,2016-2017,6th and up,"$30,000",,,,
Creighton University (CU),Biomedical Sciences,"$26,481",1.31,2016-2017,5th,"$26,481",,,,
University of California - Berkeley,Architecture,"$26,000",0.94,2017-2018,1st,,"$22,500","$3,500",,
University of Connecticut (UConn),Eeb,"$47,000",1.93,2016-2017,2nd,"$47,000",,,,
Georgetown University,Biology ,"$32,000",1.04,2017-2018,1st,"$32,000",,,,Health care is also covered. Tuition is fully covered. Take home after taxes is about $2000 / month and that is livable. 
Vanderbilt University,,"$26,500",1.15,2016-2017,2nd,,"$26,500",,,Includes health insurance. Summer funding not guaranteed but frequently available.
Worcester Polytechnic Institute (WPI),Chemical engineering,"$29,000",1.29,2017-2018,3rd,"$30,000",,,"$1,000",
,,"$29,000",,2016-2017,,"$29,000",,,,
University of Iowa (UI),History,"$19,000",0.86,2017-2018,1st,,"$19,000",,,
University of Wisconsin - Madison (UW),Political Science,"$20,000",0.88,2016-2017,1st,"$20,000",,,,
University of Rhode Island (URI),Clinical Psychology,"$9,200",0.40,2017-2018,1st,,"$9,200",,,
University of Massachusetts - Amherst (UMass),Physics,"$20,862",0.91,2016-2017,,"$20,862",,,,
Northwestern University (NU),Physics,"$30,800",1.27,2016-2017,,"$30,800",,,,
University of Oklahoma (OU),Physics,"$21,600",1.07,2016-2017,,"$21,600",,,,
Northeastern University (NU),Physics,"$23,190",0.81,2016-2017,,"$23,190",,,,
University of Tennessee - Knoxville,Physics,"$21,500",1.01,2016-2017,,"$21,500",,,,
